min_samples,eps_percentile,eps,n_clusters,n_noise,noise_share_pct,largest_cluster_share_pct
10,80,0.24036555217470618,54,15202,13.805943039814007,85.60374891020052
10,85,0.27445860112076065,36,11219,10.1887169427492,89.40987358326068
10,90,0.3277392067087018,26,7308,6.636878814298169,93.06887532693985
10,92,0.36037796180174536,23,5675,5.153843359488521,94.62456408020924
10,95,0.4378815504657547,10,3467,3.1486123219994187,96.78509154315606
10,97,0.5354523913218235,6,1965,1.7845466434176112,98.15642255158384
20,80,0.2931897645648592,12,14648,13.302818947980239,86.5237213019471
20,85,0.33428417204455785,5,10662,9.68286835222319,90.25628451031677
20,90,0.39977671576230545,2,7083,6.432541412380122,93.52749927346701
20,92,0.4421625495153195,2,5482,4.978567276954374,94.99237140366172
20,95,0.5385731077717152,1,3238,2.940642255158384,97.05935774484162
20,97,0.6622298730468456,1,1868,1.696454519035164,98.30354548096484
30,80,0.3277425173378957,2,14422,13.097573379831445,86.87881429816913
30,85,0.3744429981797195,1,10406,9.45037779715199,90.54962220284801
30,90,0.4474746222092041,2,6905,6.270887823307178,93.70822435338565
30,92,0.49632980557774786,1,5314,4.825995350188898,95.1740046498111
30,95,0.6059113265944552,1,3076,2.7935193257773903,97.2064806742226
30,97,0.744451222983989,1,1785,1.6210767218831734,98.37892327811683
50,80,0.37727613621771916,1,14010,12.723408892763732,87.27659110723627
50,85,0.43158154930502257,1,10008,9.088927637314734,90.91107236268526
50,90,0.5158619127127869,1,6559,5.9566623074687595,94.04333769253124
50,92,0.5736693840376998,1,5055,4.590780296425458,95.40921970357454
50,95,0.7061156806039592,1,2907,2.6400392327811684,97.35996076721884
50,97,0.8656136706898964,1,1621,1.4721374600406858,98.52786253995932
